rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0R6NfOiLzLj4O5VbYSJAjf","Xavi","La Diabla","Interscope Records",1,1,7,"22127591"
2,"spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY","Xavi","La Víctima","Interscope Records",2,2,17,"15535727"
3,"spotify:track:6XaJfhwof7qIgbbXO5tIQI","Kali Uchis, Peso Pluma","Igual Que Un Ángel (with Peso Pluma)","Geffen Records",3,-1,1,"11107554"
4,"spotify:track:6uIIdjYTxxpWOyWuVXrKQO","Calle 24, Chino Pacas, Fuerza Regida","Que Onda","Street Mob Records - Rancho Humilde",1,3,20,"10146108"
5,"spotify:track:6CvTEtGagmzQvkUzzyKR9k","Fuerza Regida, Marshmello","HARLEY QUINN","Rancho Humilde/Street Mob Records",1,5,13,"8802892"
6,"spotify:track:2OWv3lRR8PtOVuHWzQNRs2","Peso Pluma, Junior H, Oscar Maydon","Rompe La Dompe","2023 Double P Records",4,4,3,"8726035"
7,"spotify:track:6RcAHyC5sAUIbPTkhOQwd8","Junior H","Y LLORO","WEA Latina",5,8,15,"8085467"
8,"spotify:track:6ED7qim1NAX1HjNU8039WS","Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel","Alucin","WKMX, División of WK Records / RB Records",8,9,9,"8067899"
9,"spotify:track:0O3U5iwTbiXCREMkvotJuN","Grupo Frontera, Grupo Firme","EL AMOR DE SU VIDA","Grupo Frontera",5,6,24,"8030519"
10,"spotify:track:4loIMejzvt11s97SGVEat8","Xavi, Los Dareyes De La Sierra","Poco A Poco","Interscope Records",9,10,16,"7830119"
11,"spotify:track:05WVKTdZhlIMX4qqMLuo0f","Peso Pluma, Anitta","BELLAKEO","Double P Records",7,7,6,"7399323"
12,"spotify:track:3QQAeMQbbjZXVFbF8DgFWT","Oscar Ortiz, Edgardo Nuñez","FIRST LOVE","Badsin Records, LLC",12,23,4,"7244718"
13,"spotify:track:127UT7AiWflJwjXWUBBVTQ","Natanael Cano","O Me Voy O Te Vas","WEA Latina",12,12,14,"6880522"
14,"spotify:track:1TEKUj8c5iyRNUUxo9SdSD","Xavi, Tony Aguirre","Modo DND","Interscope Records",13,13,12,"6809631"
15,"spotify:track:2TJKY0WSFufZOzbRNgl6zE","Alex Favela, Grupo Marca Registrada, Joaquin Medina","ELOVRGA","Rios Music/ Outerspace Music/ Boba Records Corporation",3,11,22,"6717537"
16,"spotify:track:1rXxK89X0XGpIdTB6CwiFu","Gabito Ballesteros","A Puro Dolor","Los CT Records",13,17,7,"6149183"
17,"spotify:track:4bw8mcDUSRWfQo63ZTYRnU","Maluma, Carin Leon","Según Quién","Sony Music Latin",6,15,22,"5964336"
18,"spotify:track:3FvTHuefYV6TxE3Kseqno8","Gabito Ballesteros, Natanael Cano","LOU LOU","Los CT Records",3,16,13,"5816139"
19,"spotify:track:7mXuWTczZNxG5EDcjFEuJR","Peso Pluma, Gabito Ballesteros, Junior H","LADY GAGA","Double P Records",1,14,30,"5815781"
20,"spotify:track:25OeKzcqakFPaJlXHPE5lm","Carin Leon","Primera Cita","Socios Music LLC",2,19,38,"5700297"
21,"spotify:track:6VciS3dRMpZhJiDxT8ArFi","Bizarrap, Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58","DALE PLAY Records",21,-1,1,"5692411"
22,"spotify:track:5RqSsdzTNPX1uzkmlHCFvK","KAROL G, Peso Pluma","QLONA","Bichota/Interscope Records",2,18,23,"5687404"
23,"spotify:track:6YOfGIE6iFxC7G8OlGGvzW","Junior H","ROCKSTAR","WEA Latina",15,21,15,"5537875"
24,"spotify:track:7bywjHOc0wSjGGbj04XbVi","Feid, ATL Jacob","LUNA","UMLE - Latino",24,28,7,"5488684"
25,"spotify:track:4zfQER4owi8q6NL8Gg63Ya","Fuerza Regida","CRAZYZ","Rancho Humilde/Street Mob Records",20,20,9,"5403808"
26,"spotify:track:1UL2Sn9KX8StSDOp8ZEAOC","Doble ONE Flow Letal","Mi Kryptonita","CUELLO BLANCO",25,25,12,"5081158"
27,"spotify:track:7iQXYTyuG13aoeHxGG28Nh","Bad Bunny, Feid","PERRO NEGRO","Rimas Entertainment LLC",4,24,14,"5043020"
28,"spotify:track:1RzjXhgnzqb3dMa5852itx","Peso Pluma, Tito Double P","LA PEOPLE","Double P Records",8,22,23,"4981807"
29,"spotify:track:4t46soaqA758rbukTO5pp1","Natanael Cano","Mi Bello Angel","WEA Latina",4,29,29,"4848234"
30,"spotify:track:7gaA3wERFkFkgivjwbSvkG","Ariana Grande","yes, and?","Republic Records",30,-1,1,"4687921"
31,"spotify:track:1Aa54YEL20kiDPI6f4XGdS","Uzielito Mix, Yeri Mua, El Jordan 23, Dj Kiire","Linea Del Perreo","Candela Music",23,27,6,"4486672"
32,"spotify:track:1PTgQ0HyfwbXRKapVPNKxI","Oscar Maydon, Natanael Cano, Gabito Ballesteros","Tipo Gatsby","Rancho Humilde",26,26,4,"4423930"
33,"spotify:track:2NQZVzSRRatbbPWD5IfadH","Xavi","Sin Pagar Renta","Interscope Records",33,46,6,"4404449"
34,"spotify:track:5B8FWDSKUT5Ui1CsCfopWh","Grupo Marca Registrada, Octavio Cuadras","Bling Bling","RB Music, Inc. (RB Music/Grupo Marca Registrada)",25,31,7,"4293548"
35,"spotify:track:7yIIeKUxTpn36X6CFJhgEi","Bellakath, Dani Flow","Reggaeton Champagne","La Mafia del Perreo",9,30,15,"4222567"
36,"spotify:track:29vIEdxgMT9H1fnBMecWjA","Julión Álvarez y su Norteño Banda","Lo Tienes Todo","UMLE - Fonovisa",34,34,8,"4187834"
37,"spotify:track:5HR7yfhSCeoOHRQN05XnZQ","Grupo Frontera, Carin Leon","QUE VUELVAS","Grupo Frontera",2,32,58,"4026406"
38,"spotify:track:1xgWArLVFD1AKsLzftZYc2","Oscar Maydon, Gabito Ballesteros, Chino Pacas","Elvira","Rancho Humilde",33,33,4,"4020938"
39,"spotify:track:3wlIAXSDtlD9iU8ysld06Z","Peso Pluma, Jasiel Nuñez, Junior H","BIPOLAR","Double P Records",13,35,19,"3951401"
40,"spotify:track:1GtIK8iINes4gNt06F60NU","Alfredo Olivas","Vete","Fonovisa",28,42,29,"3934001"
