rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0R6NfOiLzLj4O5VbYSJAjf","Xavi","La Diabla","Interscope Records",1,1,12,"15598111"
2,"spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY","Xavi","La Víctima","Interscope Records",2,2,22,"11682056"
3,"spotify:track:3QQAeMQbbjZXVFbF8DgFWT","Oscar Ortiz, Edgardo Nuñez","FIRST LOVE","Badsin Records, LLC",3,3,9,"8955946"
4,"spotify:track:6XaJfhwof7qIgbbXO5tIQI","Kali Uchis, Peso Pluma","Igual Que Un Ángel (with Peso Pluma)","Geffen Records",3,4,6,"7926223"
5,"spotify:track:6uIIdjYTxxpWOyWuVXrKQO","Calle 24, Chino Pacas, Fuerza Regida","Que Onda","Street Mob Records - Rancho Humilde",1,5,25,"7545762"
6,"spotify:track:51qYdMBxt9mFbtZBzq1Yfi","Julión Álvarez y su Norteño Banda","Regalo De Dios","UMLE - Fonovisa",6,18,8,"7423723"
7,"spotify:track:6CvTEtGagmzQvkUzzyKR9k","Fuerza Regida, Marshmello","HARLEY QUINN","Rancho Humilde/Street Mob Records",1,6,18,"6925006"
8,"spotify:track:4loIMejzvt11s97SGVEat8","Xavi, Los Dareyes De La Sierra","Poco A Poco","Interscope Records",7,7,21,"6524671"
9,"spotify:track:1sXr6moCwVxwKEgSPxhVvF","Calle 24, Chino Pacas","Apaga El Cel","Street Mob Records - Rancho Humilde",9,17,8,"6232302"
10,"spotify:track:6RcAHyC5sAUIbPTkhOQwd8","Junior H","Y LLORO","WEA Latina",5,9,20,"6118750"
11,"spotify:track:6YOfGIE6iFxC7G8OlGGvzW","Junior H","ROCKSTAR","WEA Latina",11,11,20,"6017262"
12,"spotify:track:6ED7qim1NAX1HjNU8039WS","Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel","Alucin","WKMX, División of WK Records / RB Records",7,8,14,"5907500"
13,"spotify:track:2500EpUpryOBJX0rO8fDuB","Junior H, Peso Pluma","A Tu Manera","WEA Latina",13,-1,1,"5836730"
14,"spotify:track:127UT7AiWflJwjXWUBBVTQ","Natanael Cano","O Me Voy O Te Vas","WEA Latina",12,14,19,"5836421"
15,"spotify:track:7bywjHOc0wSjGGbj04XbVi","Feid, ATL Jacob","LUNA","UMLE - Latino",13,13,12,"5737096"
16,"spotify:track:05tGmdz9dVZ4yGqz4YJdPK","Christian Nodal, Peso Pluma","La Intención","Producciones Ladon, S.A de C.V.",9,12,4,"5537038"
17,"spotify:track:5RqSsdzTNPX1uzkmlHCFvK","KAROL G, Peso Pluma","QLONA","Bichota/Interscope Records",2,10,28,"5534638"
18,"spotify:track:2TJKY0WSFufZOzbRNgl6zE","Alex Favela, Grupo Marca Registrada, Joaquin Medina","ELOVRGA","Rios Music/ Outerspace Music/ Boba Records Corporation",3,19,27,"5470952"
19,"spotify:track:2OWv3lRR8PtOVuHWzQNRs2","Peso Pluma, Junior H, Oscar Maydon","Rompe La Dompe","2023 Double P Records",4,16,8,"5307518"
20,"spotify:track:05WVKTdZhlIMX4qqMLuo0f","Peso Pluma, Anitta","BELLAKEO","Double P Records",7,20,11,"5090371"
21,"spotify:track:0O3U5iwTbiXCREMkvotJuN","Grupo Frontera, Grupo Firme","EL AMOR DE SU VIDA","Grupo Frontera",5,15,29,"5090002"
22,"spotify:track:4t46soaqA758rbukTO5pp1","Natanael Cano","Mi Bello Angel","WEA Latina",4,26,34,"4840312"
23,"spotify:track:29vIEdxgMT9H1fnBMecWjA","Julión Álvarez y su Norteño Banda","Lo Tienes Todo","UMLE - Fonovisa",23,30,13,"4835086"
24,"spotify:track:7mXuWTczZNxG5EDcjFEuJR","Peso Pluma, Gabito Ballesteros, Junior H","LADY GAGA","Double P Records",1,22,35,"4792369"
25,"spotify:track:1TEKUj8c5iyRNUUxo9SdSD","Xavi, Tony Aguirre","Modo DND","Interscope Records",13,21,17,"4721578"
26,"spotify:track:4zfQER4owi8q6NL8Gg63Ya","Fuerza Regida","CRAZYZ","Rancho Humilde/Street Mob Records",20,25,14,"4665021"
27,"spotify:track:1xgWArLVFD1AKsLzftZYc2","Oscar Maydon, Gabito Ballesteros, Chino Pacas","Elvira","Rancho Humilde",27,29,9,"4500782"
28,"spotify:track:1rXxK89X0XGpIdTB6CwiFu","Gabito Ballesteros","A Puro Dolor","Los CT Records",13,23,12,"4494783"
29,"spotify:track:4bw8mcDUSRWfQo63ZTYRnU","Maluma, Carin Leon","Según Quién","Sony Music Latin",6,24,27,"4479823"
30,"spotify:track:4UkUxO2WlKLc0Q1iEutGGh","KAROL G, Tiësto","CONTIGO (with Tiësto)","Bichota/Interscope Records",30,-1,1,"4451317"
31,"spotify:track:3FvTHuefYV6TxE3Kseqno8","Gabito Ballesteros, Natanael Cano","LOU LOU","Los CT Records",3,27,18,"4422295"
32,"spotify:track:2DRGyAlo0ht15FGLTQPCCt","Adrian L Santos, Joaquin Medina","Ya No Estoy Dolido","Rancho Humilde",32,35,6,"4273276"
33,"spotify:track:7iQXYTyuG13aoeHxGG28Nh","Bad Bunny, Feid","PERRO NEGRO","Rimas Entertainment LLC",4,32,19,"4251332"
34,"spotify:track:25OeKzcqakFPaJlXHPE5lm","Carin Leon","Primera Cita","Socios Music LLC",2,28,43,"4245501"
35,"spotify:track:3PdxzrKH2jVQwAYWe0OMK8","Gabito Ballesteros, Natanael Cano","Proyecto X","Los CT Records",34,34,3,"4211904"
36,"spotify:track:5cWgwbui8BasfjCXvBZ7UA","Carin Leon, Grupo Frontera","Alch Si","SOCIOS MUSIC LLC",36,36,12,"4160308"
37,"spotify:track:0lbDzTINTToToBpkrnQT2t","Fuerza Regida, Manuel Turizo","UNA CERVEZA","Rancho Humilde/Street Mob Records",35,37,9,"4129674"
38,"spotify:track:1GtIK8iINes4gNt06F60NU","Alfredo Olivas","Vete","Fonovisa",28,33,34,"3959242"
39,"spotify:track:4GvEuYAfJlICR2SpMDaBxQ","Jere Klein, Gittobeatz","ANDO","2023 JERE KLEIN",37,41,14,"3841317"
40,"spotify:track:7iUtQNMRB8ZkKC4AmEuCJC","Myke Towers","LA FALDA","WEA Latina",40,42,10,"3739714"
41,"spotify:track:1tzj4DDVNp6X2ltpdTGtZW","Javier Rosas Y Su Artillería Pesada, Lupe Borbon y su Blindaje 7","La Suma","Rosas Music",28,31,5,"3738231"
42,"spotify:track:2NQZVzSRRatbbPWD5IfadH","Xavi","Sin Pagar Renta","Interscope Records",32,39,11,"3680243"
43,"spotify:track:1UL2Sn9KX8StSDOp8ZEAOC","Doble ONE Flow Letal","Mi Kryptonita","CUELLO BLANCO",25,38,17,"3592704"
44,"spotify:track:5HR7yfhSCeoOHRQN05XnZQ","Grupo Frontera, Carin Leon","QUE VUELVAS","Grupo Frontera",2,40,63,"3514069"
45,"spotify:track:2yzshFeBIwH8tWIqHEFLeD","Grupo Frontera, Bad Bunny","un x100to","Grupo Frontera",2,46,45,"3420823"
46,"spotify:track:3kx21xR6IboC9HVdajgBoc","Fuerza Regida","SABOR FRESA","Rancho Humilde/Street Mob Records",2,47,35,"3362217"
47,"spotify:track:505v13epFXodT9fVAJ6h8k","KAROL G","AMARGURA","Universal Music Latino",38,45,41,"3360808"
48,"spotify:track:1RzjXhgnzqb3dMa5852itx","Peso Pluma, Tito Double P","LA PEOPLE","Double P Records",8,49,28,"3244130"
49,"spotify:track:1PTgQ0HyfwbXRKapVPNKxI","Oscar Maydon, Natanael Cano, Gabito Ballesteros","Tipo Gatsby","Rancho Humilde",26,48,9,"3233393"
50,"spotify:track:5rAnfPGKZGyRBzI5kcAaqB","Oscar Maydon, Grupo Marca Registrada","Anda Bien el Nene","Rancho Humilde",50,51,2,"3169189"
51,"spotify:track:5SHXikmjPwChjvpVIeYkMf","Oscar Maydon, Junior H, Gabito Ballesteros","Skin de Bandida","Rancho Humilde",14,50,22,"3105014"
52,"spotify:track:3wlIAXSDtlD9iU8ysld06Z","Peso Pluma, Jasiel Nuñez, Junior H","BIPOLAR","Double P Records",13,44,24,"2985086"
53,"spotify:track:6XjDF6nds4DE2BBbagZol6","FloyyMenor, Cris Mj","Gata Only","FloyyMenor under exclusive license to UnitedMasters LLC",53,135,2,"2954848"
54,"spotify:track:0TUW9faHNaBmi89wsYGp9y","Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL","Mamichula - con Nicki Nicole","NEUEN",18,-1,28,"2934671"
55,"spotify:track:4DnhYGcizQepwr7vvvntih","Alex Favela, Código FN, Oscar Ortiz","ALVRGZO","Rios Music / Badsin Records / Al Millon Music",45,57,12,"2892974"
56,"spotify:track:54zcJnb3tp9c5OVKREZ1Is","KAROL G","MI EX TENÍA RAZÓN","Bichota/Interscope Records",13,52,28,"2887104"
57,"spotify:track:1haJsMtoBhHfvuM7XWuT3W","Junior H, Peso Pluma","El Azul","WEA Latina",3,54,54,"2830273"
58,"spotify:track:3kf0WdFOalKWBkCCLJo4mA","Chino Pacas","El Gordo Trae El Mando","STREET MOB",6,56,55,"2755144"
59,"spotify:track:1Aa54YEL20kiDPI6f4XGdS","Uzielito Mix, Yeri Mua, El Jordan 23, Dj Kiire","Linea Del Perreo","Candela Music",23,55,11,"2749418"
60,"spotify:track:179TZwPk0txEvjkraVTVKo","Alfredo Olivas","El Precio De La Soledad","Camiolvi",42,63,76,"2719589"
61,"spotify:track:3RauwC9sLKjxVN7uNw0vAH","Fuerza Regida","Enculado","Rancho Humilde/Street Mob Records",61,143,2,"2713303"
62,"spotify:track:213Q7w8RMi5qbj18kvWasy","Belinda","Cactus","WM Mexico",26,43,3,"2705394"
63,"spotify:track:71V6u8mPSydvEokO7XYqG6","Alfredo Olivas","El Vals Del Olvido","Camiolvi",63,69,71,"2695167"
64,"spotify:track:0zhymr6RqNuvp0RMIvdpdA","Código FN, Gabito Ballesteros","Mood Malandro","Al Millon Music",13,58,26,"2668676"
65,"spotify:track:6TBzRwnX2oYd8aOrOuyK1p","Oscar Maydon, Junior H","Fin de Semana","Rancho Humilde",4,60,58,"2655940"
66,"spotify:track:24teIhDYO2RocTA2v5dY0r","Junior H","Extssy Model","WEA Latina",37,62,71,"2654269"
67,"spotify:track:6VciS3dRMpZhJiDxT8ArFi","Bizarrap, Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58","DALE PLAY Records",21,53,6,"2643608"
68,"spotify:track:3KZCP2StVGdWkOKyRZNWA4","Plan B","Es un Secreto","Pina Records",42,65,102,"2628601"
69,"spotify:track:1OZpgVRQKkxcoeEocqTMRZ","Julión Álvarez y su Norteño Banda","Pongámonos De Acuerdo","UMLE - Fonovisa",27,73,76,"2627393"
70,"spotify:track:5YZgFW1hURKX02zTayrpGI","Fuerza Regida","BARBIEZ","Rancho Humilde/Street Mob Records",70,71,5,"2577972"
71,"spotify:track:5B8FWDSKUT5Ui1CsCfopWh","Grupo Marca Registrada, Octavio Cuadras","Bling Bling","RB Music, Inc. (RB Music/Grupo Marca Registrada)",25,59,12,"2562959"
72,"spotify:track:2O223PoYCkIPSsE4cmnr9v","Fuerza Regida","TQM","Rancho Humilde/Street Mob Records",1,64,40,"2561211"
73,"spotify:track:7LLBONqWyX3MoBvIVPu5fj","Tiagz, Fuerza Regida, El Alfa","Tacata (Remix)","Street Mob Records",47,67,8,"2531258"
