rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0R6NfOiLzLj4O5VbYSJAjf","Xavi","La Diabla","Interscope Records",1,1,10,"18109668"
2,"spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY","Xavi","La Víctima","Interscope Records",2,2,20,"12767423"
3,"spotify:track:6XaJfhwof7qIgbbXO5tIQI","Kali Uchis, Peso Pluma","Igual Que Un Ángel (with Peso Pluma)","Geffen Records",3,3,4,"10674501"
4,"spotify:track:3QQAeMQbbjZXVFbF8DgFWT","Oscar Ortiz, Edgardo Nuñez","FIRST LOVE","Badsin Records, LLC",4,4,7,"9864748"
5,"spotify:track:6uIIdjYTxxpWOyWuVXrKQO","Calle 24, Chino Pacas, Fuerza Regida","Que Onda","Street Mob Records - Rancho Humilde",1,5,23,"8345407"
6,"spotify:track:6CvTEtGagmzQvkUzzyKR9k","Fuerza Regida, Marshmello","HARLEY QUINN","Rancho Humilde/Street Mob Records",1,6,16,"7814508"
7,"spotify:track:6ED7qim1NAX1HjNU8039WS","Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel","Alucin","WKMX, División of WK Records / RB Records",7,8,12,"7621415"
8,"spotify:track:4loIMejzvt11s97SGVEat8","Xavi, Los Dareyes De La Sierra","Poco A Poco","Interscope Records",8,10,19,"7160264"
9,"spotify:track:05tGmdz9dVZ4yGqz4YJdPK","Christian Nodal, Peso Pluma","La Intención","Producciones Ladon, S.A de C.V.",9,14,2,"6736924"
10,"spotify:track:6RcAHyC5sAUIbPTkhOQwd8","Junior H","Y LLORO","WEA Latina",5,7,18,"6666926"
11,"spotify:track:2OWv3lRR8PtOVuHWzQNRs2","Peso Pluma, Junior H, Oscar Maydon","Rompe La Dompe","2023 Double P Records",4,11,6,"6463031"
12,"spotify:track:0O3U5iwTbiXCREMkvotJuN","Grupo Frontera, Grupo Firme","EL AMOR DE SU VIDA","Grupo Frontera",5,9,27,"6439473"
13,"spotify:track:127UT7AiWflJwjXWUBBVTQ","Natanael Cano","O Me Voy O Te Vas","WEA Latina",12,12,17,"6391968"
14,"spotify:track:1sXr6moCwVxwKEgSPxhVvF","Calle 24, Chino Pacas","Apaga El Cel","Street Mob Records - Rancho Humilde",14,16,6,"6148393"
15,"spotify:track:6YOfGIE6iFxC7G8OlGGvzW","Junior H","ROCKSTAR","WEA Latina",15,18,18,"6071123"
16,"spotify:track:2TJKY0WSFufZOzbRNgl6zE","Alex Favela, Grupo Marca Registrada, Joaquin Medina","ELOVRGA","Rios Music/ Outerspace Music/ Boba Records Corporation",3,15,25,"6003125"
17,"spotify:track:05WVKTdZhlIMX4qqMLuo0f","Peso Pluma, Anitta","BELLAKEO","Double P Records",7,13,9,"5989070"
18,"spotify:track:7bywjHOc0wSjGGbj04XbVi","Feid, ATL Jacob","LUNA","UMLE - Latino",16,17,10,"5972955"
19,"spotify:track:1TEKUj8c5iyRNUUxo9SdSD","Xavi, Tony Aguirre","Modo DND","Interscope Records",13,19,15,"5438203"
20,"spotify:track:5RqSsdzTNPX1uzkmlHCFvK","KAROL G, Peso Pluma","QLONA","Bichota/Interscope Records",2,22,26,"5351780"
21,"spotify:track:1rXxK89X0XGpIdTB6CwiFu","Gabito Ballesteros","A Puro Dolor","Los CT Records",13,21,10,"5313314"
22,"spotify:track:4bw8mcDUSRWfQo63ZTYRnU","Maluma, Carin Leon","Según Quién","Sony Music Latin",6,23,25,"5183125"
23,"spotify:track:51qYdMBxt9mFbtZBzq1Yfi","Julión Álvarez y su Norteño Banda","Regalo De Dios","UMLE - Fonovisa",23,29,6,"5057343"
24,"spotify:track:7mXuWTczZNxG5EDcjFEuJR","Peso Pluma, Gabito Ballesteros, Junior H","LADY GAGA","Double P Records",1,20,33,"5036858"
25,"spotify:track:3FvTHuefYV6TxE3Kseqno8","Gabito Ballesteros, Natanael Cano","LOU LOU","Los CT Records",3,24,16,"4999539"
26,"spotify:track:213Q7w8RMi5qbj18kvWasy","Belinda","Cactus","WM Mexico",26,-1,1,"4974557"
27,"spotify:track:25OeKzcqakFPaJlXHPE5lm","Carin Leon","Primera Cita","Socios Music LLC",2,26,41,"4900666"
28,"spotify:track:1tzj4DDVNp6X2ltpdTGtZW","Javier Rosas Y Su Artillería Pesada, Lupe Borbon y su Blindaje 7","La Suma","Rosas Music",28,47,3,"4898890"
29,"spotify:track:4zfQER4owi8q6NL8Gg63Ya","Fuerza Regida","CRAZYZ","Rancho Humilde/Street Mob Records",20,27,12,"4715494"
30,"spotify:track:4t46soaqA758rbukTO5pp1","Natanael Cano","Mi Bello Angel","WEA Latina",4,25,32,"4693313"
